Instance,Seed,CutoffSeconds,HasVerifiedSolution,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,BestCost,ModelName,KernelName,ControllerEnabled,Feasible
generalized-ising_wt-IS9_5.0.5.0.0.5_softer_periodic_old.wcnf,1,60,True,0.0603324,0.19203,110066981524169.0,Host-NuWLS,NuWLS,False,True
hs-timetabling_wt-BrazilInstance1.xml_old.wcnf,1,60,True,0.0907062,42.8046,117.0,Host-NuWLS,NuWLS,False,True
hs-timetabling_wt-BrazilInstance2.xml_old.wcnf,1,60,True,0.183881,50.8311,149.0,Host-NuWLS,NuWLS,False,True
hs-timetabling_wt-BrazilInstance4.xml_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
hs-timetabling_wt-BrazilInstance5.xml_old.wcnf,1,60,True,0.424791,28.919,490.0,Host-NuWLS,NuWLS,False,True
hs-timetabling_wt-BrazilInstance6.xml_old.wcnf,1,60,True,0.633486,56.0732,546.0,Host-NuWLS,NuWLS,False,True
hs-timetabling_wt-BrazilInstance7.xml_old.wcnf,1,60,True,0.917968,49.8161,889.0,Host-NuWLS,NuWLS,False,True
hs-timetabling_wt-FinlandSecondarySchool.xml_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
hs-timetabling_wt-ItalyInstance4.xml_old.wcnf,1,60,True,3.58451,13.6022,12143.0,Host-NuWLS,NuWLS,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000300_old.wcnf,1,60,True,0.179061,10.1946,776.0,Host-NuWLS,NuWLS,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000334_old.wcnf,1,60,True,0.0897964,10.9916,542.0,Host-NuWLS,NuWLS,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000451_old.wcnf,1,60,True,0.646631,20.9453,930.0,Host-NuWLS,NuWLS,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000454_old.wcnf,1,60,True,0.186992,10.8828,632.0,Host-NuWLS,NuWLS,False,True
judgment-aggregation-ja-kemeny-preflib-00051-00000011_old.wcnf,1,60,True,1.14691,52.3047,695.0,Host-NuWLS,NuWLS,False,True
max-realizability_wt-power-distribution_11_7_old.wcnf,1,60,True,0.350287,0.98039,126.0,Host-NuWLS,NuWLS,False,True
max-realizability_wt-power-distribution_12_8_old.wcnf,1,60,True,0.752612,1.22244,216.0,Host-NuWLS,NuWLS,False,True
max-realizability_wt-robot-navigation_10_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
MaxSATQueriesinInterpretableClassifiers_wt-credit_train_8_CNF_5_20_old.wcnf,1,60,True,1.71418,45.517,96111.0,Host-NuWLS,NuWLS,False,True
MaxSATQueriesinInterpretableClassifiers_wt-pima_train_6_CNF_3_20_old.wcnf,1,60,True,0.0200156,12.587,2757.0,Host-NuWLS,NuWLS,False,True
MaxSATQueriesinInterpretableClassifiers_wt-toms_test_2_CNF_3_20_old.wcnf,1,60,True,0.395234,35.4311,174.0,Host-NuWLS,NuWLS,False,True
metro_wt-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted_old.wcnf,1,60,True,6.53298,10.6513,215.0,Host-NuWLS,NuWLS,False,True
MinimumWeightDominatingSetProblem_wt-bn-human-BNU_1_0025865_session_1-bg_old.wcnf,1,60,True,221.332,221.332,119428383.0,Host-NuWLS,NuWLS,False,True
MinimumWeightDominatingSetProblem_wt-channel-500x100x100-b050_old.wcnf,1,60,True,35.6671,35.6671,33348213.0,Host-NuWLS,NuWLS,False,True
MinimumWeightDominatingSetProblem_wt-delaunay_n24_old.wcnf,1,60,True,59.0216,59.0216,276432528.0,Host-NuWLS,NuWLS,False,True
MinimumWeightDominatingSetProblem_wt-hugebubbles-00020_old.wcnf,1,60,True,64.4877,64.4877,588544429.0,Host-NuWLS,NuWLS,False,True
MinimumWeightDominatingSetProblem_wt-inf-road-usa_old.wcnf,1,60,True,62.6408,62.6408,759720620.0,Host-NuWLS,NuWLS,False,True
MinimumWeightDominatingSetProblem_wt-rgg_n_2_24_s0_old.wcnf,1,60,True,109.045,109.045,54514898.0,Host-NuWLS,NuWLS,False,True
MinimumWeightDominatingSetProblem_wt-sc-rel9_old.wcnf,1,60,True,40.7487,50.0035,14350185.0,Host-NuWLS,NuWLS,False,True
MinimumWeightDominatingSetProblem_wt-soc-livejournal-user-groups_old.wcnf,1,60,False,,,,Host-NuWLS,NuWLS,False,False
MinimumWeightDominatingSetProblem_wt-web-wikipedia2009_old.wcnf,1,60,True,7.43874,60.0337,27073211.0,Host-NuWLS,NuWLS,False,True
mpe_wt-random-net-50-5_network-8.net_old.wcnf,1,60,True,0.019823,0.862566,46535.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.1_8_old.wcnf,1,60,True,1.15653,34.9311,38820.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.2_0_old.wcnf,1,60,True,1.29268,14.4785,66832.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.5_1_old.wcnf,1,60,True,1.26327,13.2642,142722.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.6_8_old.wcnf,1,60,True,1.1724,21.4861,159803.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_2_old.wcnf,1,60,True,0.0124177,13.5286,277688.0,Host-NuWLS,NuWLS,False,True
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_6_old.wcnf,1,60,True,0.0676057,55.0867,252162.0,Host-NuWLS,NuWLS,False,True
