Dataset,Model,ModelDirectory,InstanceKey,InstanceOriginal,FeasibleReported,FeasibleStrict300,BestCost,BestTimeSeconds,FirstFeasibleTimeSeconds,QualityReported,QualityStrict300,SourceFile,SourceFormat,DevelopmentExcluded,ParameterDevelopmentTrack,PrimaryHeldOut,InstanceBestCostReported,WinReported,UniqueWinReported,SharedWinReported,InstanceBestCostStrict300,WinStrict300,UniqueWinStrict300,SharedWinStrict300
24-wpms-300s,NuWLS-c-FPS,NFPS,protein_ins_wt_1knt_1bpi_g_wcnf_t_old,protein_ins_wt-1knt_.1bpi_.g.wcnf.t_old.wcnf,True,True,2464.0,7.308478,0.679575,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,2464.0,True,False,True,2464.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,protein_ins_wt_1knt_5pti_g_wcnf_t_old,protein_ins_wt-1knt_.5pti_.g.wcnf.t_old.wcnf,True,True,2208.0,4.452591,0.333556,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,2208.0,True,False,True,2208.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,protein_ins_wt_2knt_5pti_g_wcnf_t_old,protein_ins_wt-2knt_.5pti_.g.wcnf.t_old.wcnf,True,True,2156.0,0.530569,0.316025,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,2156.0,True,False,True,2156.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,protein_ins_wt_3ebx_1era_g_wcnf_t_old,protein_ins_wt-3ebx_.1era_.g.wcnf.t_old.wcnf,True,True,2517.0,2.051064,0.959195,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,2517.0,True,False,True,2517.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,protein_ins_wt_6ebx_1era_g_wcnf_t_old,protein_ins_wt-6ebx_.1era_.g.wcnf.t_old.wcnf,True,True,1646.0,0.313534,0.188745,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,1646.0,True,False,True,1646.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,protein_ins_wt_p1_wcnf_t_old,protein_ins_wt-p1.wcnf.t_old.wcnf,True,True,2407.0,0.668132,0.394848,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,2407.0,True,False,True,2407.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,protein_ins_wt_sandiaprotein_g_wcnf_t_old,protein_ins_wt-sandiaprotein.g.wcnf.t_old.wcnf,True,True,2248.0,0.983246,0.50791,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,False,False,True,2248.0,True,False,True,2248.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,pseudoboolean_wt_normalized_mps_v2_20_10_mod010_opb_msat_old,pseudoBoolean_wt-normalized-mps-v2-20-10-mod010.opb.msat_old.wcnf,False,False,,,,False,False,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,True,False,False,,False,False,False,,False,False,False
24-wpms-300s,NuWLS-c-FPS,NFPS,quantum_circuit_grover_noancilla_4_52_ibmq_casablanca_7_old,quantum-circuit-grover-noancilla_4_52_ibmq-casablanca_7_old.wcnf,True,True,27.0,28.651081,0.139597,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,True,False,False,27.0,True,False,True,27.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,quantum_circuit_qgan_6_15_ibmq_casablanca_7_old,quantum-circuit-qgan_6_15_ibmq-casablanca_7_old.wcnf,True,True,24.0,8.446664,0.126615,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,True,False,False,24.0,True,False,True,24.0,True,False,True
24-wpms-300s,NuWLS-c-FPS,NFPS,railway_transport_wt_bf2030fvcons_old,railway-transport_wt-bf2030fvcons_old.wcnf,True,True,3281.0,17.884066,0.423575,True,True,all_300s/NFPS/NFPS_24_wpms_300s.xlsx,uniform-wrapper,True,False,False,3281.0,True,False,True,3281.0,True,False,True
