Index,Set,Instance,Model,Kernel,ControllerEnabled,Seed,CutoffSeconds,CCEHCProbability,CCEHCSmoothProbability,SolverSHA256,VerifierSHA256,ExternalSeconds,InternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,SelectedCandidate,Log
26,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.213618,60.210346,,,0,1,FALSE,FALSE,,host-final-output,026.log
27,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N320_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.016126,60.012617,0.872125,56.266281,0,0,FALSE,TRUE,126743128,host-final-output,027.log
28,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_UNARY_N250_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.158027,60.154396,,,0,1,FALSE,FALSE,,host-final-output,028.log
29,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.114146,60.110558,,,0,1,FALSE,FALSE,,host-final-output,029.log
30,23_old_wpms_160,correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.100276,60.096941,,,0,1,FALSE,FALSE,,host-final-output,030.log
31,23_old_wpms_160,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.043907,60.040549,,,0,1,FALSE,FALSE,,host-final-output,031.log
32,23_old_wpms_160,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.076274,60.072771,,,0,1,FALSE,FALSE,,host-final-output,032.log
33,23_old_wpms_160,decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.034964,60.031677,,,0,1,FALSE,FALSE,,host-final-output,033.log
34,23_old_wpms_160,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.216983,60.213726,,,0,1,FALSE,FALSE,,host-final-output,034.log
35,23_old_wpms_160,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.022814,60.019333,,,0,1,FALSE,FALSE,,host-final-output,035.log
36,23_old_wpms_160,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.044857,60.04145,,,0,1,FALSE,FALSE,,host-final-output,036.log
37,23_old_wpms_160,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.057206,60.053958,,,0,1,FALSE,FALSE,,host-final-output,037.log
38,23_old_wpms_160,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.084947,60.081195,,,0,1,FALSE,FALSE,,host-final-output,038.log
39,23_old_wpms_160,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.125675,60.122191,,,0,1,FALSE,FALSE,,host-final-output,039.log
40,23_old_wpms_160,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.0172,60.013886,,,0,1,FALSE,FALSE,,host-final-output,040.log
41,23_old_wpms_160,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.036213,60.032796,,,0,1,FALSE,FALSE,,host-final-output,041.log
42,23_old_wpms_160,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.026326,60.022871,,,0,1,FALSE,FALSE,,host-final-output,042.log
43,23_old_wpms_160,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.011304,60.008074,,,0,1,FALSE,FALSE,,host-final-output,043.log
44,23_old_wpms_160,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.020115,60.016838,,,0,1,FALSE,FALSE,,host-final-output,044.log
45,23_old_wpms_160,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.019967,60.016711,,,0,1,FALSE,FALSE,,host-final-output,045.log
46,23_old_wpms_160,drmx-cryptogen_wt-geffe128_7_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.013931,60.010553,0.047607,28.794909,0,0,FALSE,TRUE,862,host-final-output,046.log
47,23_old_wpms_160,generalized-ising_wt-IS11_5.0.5.0.0.5_softer_periodic_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.013426,60.010057,0.056338,0.141626,0,0,FALSE,TRUE,112881295992485,host-final-output,047.log
48,23_old_wpms_160,generalized-ising_wt-IS12_5.0.5.0.0.5_softer_periodic_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.01443,60.011253,0.032392,0.084797,0,0,FALSE,TRUE,113699154930652,host-final-output,048.log
49,23_old_wpms_160,generalized-ising_wt-IS13_5.0.5.0.0.5_softer_periodic_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.007984,60.004763,0.054678,0.101376,0,0,FALSE,TRUE,124896570512886,host-final-output,049.log
50,23_old_wpms_160,generalized-ising_wt-IS15_5.0.5.0.0.5_softer_periodic_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.012733,60.009158,0.032854,0.080022,0,0,FALSE,TRUE,115033629041823,host-final-output,050.log
51,23_old_wpms_160,generalized-ising_wt-IS16_5.0.5.0.0.5_softer_periodic_old.wcnf,Host-CCEHC,CCEHC,FALSE,1,60,0.279,0.085,494836625d39dfcba8fafff9a424da86037c1d53a82eeff131cc596f632e27e1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.011765,60.008548,0.032077,0.094905,0,0,FALSE,TRUE,115569593015106,host-final-output,051.log
