Index,Set,Instance,Model,Kernel,ControllerEnabled,Seed,CutoffSeconds,CCEHCProbability,CCEHCSmoothProbability,SolverSHA256,VerifierSHA256,ExternalSeconds,InternalSeconds,FirstFeasibleTimeSeconds,PaperTableTimeSeconds,SolverExitCode,VerifierExitCode,EarlyExit,HasVerifiedSolution,BestCost,SelectedCandidate,Log
109,23_old_wpms_160,railway-transport_wt-wg2_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.01849,65.002487,26.674594,26.674594,0,0,FALSE,TRUE,1452,retained hard-SAT fallback,109.log
110,23_old_wpms_160,ramsey_wt-ram_k3_n14.ra1_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.018588,60.01526,0.010296,0.142556,0,0,FALSE,TRUE,3025,seeded CCEHC refinement,110.log
111,23_old_wpms_160,ramsey_wt-ram_k3_n16.ra1_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.014029,60.010793,0.016731,0.068262,0,0,FALSE,TRUE,7271,seeded CCEHC refinement,111.log
112,23_old_wpms_160,ramsey_wt-ram_k3_n19.ra1_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.026147,60.022941,0.034432,14.355047,0,0,FALSE,TRUE,20665,seeded CCEHC refinement,112.log
113,23_old_wpms_160,ramsey_wt-ram_k4_n19.ra1_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.03365,60.030408,0.052434,29.291367,0,0,FALSE,TRUE,1192,seeded CCEHC refinement,113.log
114,23_old_wpms_160,relational-inference_wt-pa-1_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.059895,65.052781,18.317918,18.317918,0,0,FALSE,TRUE,1133648,retained hard-SAT fallback,114.log
115,23_old_wpms_160,relational-inference_wt-pa-2_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.085838,60.081486,,,2,1,FALSE,FALSE,,host-final-output,115.log
116,23_old_wpms_160,relational-inference_wt-pa-3_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,60.091749,60.087492,,,2,1,FALSE,FALSE,,host-final-output,116.log
117,23_old_wpms_160,setcover_wt-rail2536_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.242735,65.234519,6.842424,6.842424,0,0,FALSE,TRUE,2147034,retained hard-SAT fallback,117.log
118,23_old_wpms_160,setcover_wt-rail4284_old.wcnf,SCOPE-CCEHC,CCEHC,TRUE,1,60,0.279,0.085,095b2a00e24aad16a995862db3b82b8f55bdf3d108a766257941af4a67747dc1,ea8d71b9e86f670782fff8e23ca702e680294db2a71b4727bfb505b3a01abf2c,65.451525,65.442718,6.922917,6.922917,0,0,FALSE,TRUE,2119198,retained hard-SAT fallback,118.log
